Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
95,0.0,84,24.0,62,68.0,22,46,1.0,39,58.0,98
39,72.0,97,76.0,35,8.0,37,85,40.0,71,50.0,63
42,54.0,88,75.0,84,52.0,99,29,53.0,93,19.0,41
12,22.0,32,70.0,60,66.0,2,61,24.0,2,95.0,97
78,7.0,88,10.0,6,76.0,81,0,30.0,4,9.0,12
57,75.0,94,94.0,39,20.0,12,4,82.0,27,70.0,56
68,18.0,35,34.0,26,92.0,70,5,56.0,85,4.0,65
27,98.0,10,95.0,32,18.0,50,54,87.0,40,57.0,16
85,39.0,48,28.0,81,23.0,33,82,17.0,86,18.0,8
31,88.0,72,70.0,61,98.0,28,20,99.0,62,29.0,45
41,89.0,11,70.0,45,31.0,50,55,53.0,94,4.0,84
40,85.0,5,86.0,77,1.0,47,3,62.0,45,0.0,9
23,7.0,69,36.0,42,73.0,36,40,87.0,72,12.0,85
32,23.0,80,54.0,50,25.0,54,21,85.0,65,94.0,67
74,99.0,55,25.0,79,19.0,55,1,61.0,28,85.0,20
68,92.0,61,97.0,62,91.0,74,24,37.0,12,50.0,14
97,68.0,32,69.0,56,0.0,94,76,34.0,37,30.0,82
92,2.0,89,80.0,82,13.0,21,14,100.0,22,23.0,39
69,1.0,30,41.0,93,16.0,23,30,5.0,73,42.0,6
66,93.0,38,2.0,4,9.0,54,22,75.0,19,70.0,66
100,100.0,28,82.0,21,52.0,4,43,88.0,68,32.0,16
27,12.0,82,40.0,18,43.0,54,27,70.0,30,83.0,23
55,90.0,99,81.0,46,100.0,58,45,19.0,24,2.0,97
40,47.0,80,83.0,72,57.0,12,40,27.0,97,47.0,48
79,16.0,11,40.0,98,54.0,58,30,34.0,76,100.0,12
93,35.0,44,22.0,76,99.0,79,11,14.0,45,73.0,26
75,76.0,90,3.0,73,61.0,13,52,39.0,15,17.0,86
83,6.0,29,60.0,17,88.0,13,71,28.0,75,20.0,44
78,,46,70.0,51,26.0,2,19,4.0,14,20.0,41
87,,40,29.0,98,22.0,26,15,31.0,50,4.0,60
83,,25,,10,,12,85,,16,,39
