Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
77,44.0,55,72.0,34,28.0,89,44,55.0,45,44.0,9
5,59.0,66,21.0,91,41.0,99,32,99.0,22,13.0,9
55,34.0,77,62.0,88,39.0,63,94,94.0,8,42.0,44
2,89.0,37,7.0,14,29.0,23,48,82.0,27,0.0,50
67,75.0,61,19.0,5,76.0,45,47,43.0,33,88.0,79
68,2.0,96,96.0,77,5.0,33,36,83.0,64,39.0,11
47,5.0,62,14.0,36,84.0,66,22,91.0,57,60.0,17
55,86.0,71,47.0,75,73.0,82,39,92.0,36,91.0,22
61,31.0,47,96.0,51,96.0,62,69,17.0,13,60.0,17
61,34.0,31,50.0,26,84.0,44,75,44.0,56,77.0,90
90,42.0,28,76.0,68,46.0,11,88,30.0,96,35.0,39
6,84.0,24,70.0,5,9.0,4,94,83.0,74,4.0,47
47,91.0,43,37.0,27,4.0,89,32,6.0,19,36.0,29
7,39.0,69,42.0,57,20.0,40,75,72.0,40,92.0,23
2,90.0,4,1.0,94,56.0,98,1,40.0,21,97.0,93
38,25.0,8,78.0,42,37.0,67,76,1.0,100,60.0,88
38,56.0,69,53.0,98,14.0,82,15,57.0,37,41.0,80
57,11.0,95,32.0,10,51.0,74,83,22.0,93,58.0,16
25,46.0,19,42.0,56,33.0,74,7,87.0,1,44.0,38
51,48.0,10,37.0,68,86.0,91,33,43.0,31,28.0,59
100,52.0,46,38.0,43,95.0,25,18,11.0,70,96.0,37
81,38.0,13,11.0,32,12.0,1,0,47.0,45,30.0,11
62,95.0,91,78.0,5,59.0,31,77,23.0,49,42.0,92
82,20.0,35,9.0,15,49.0,31,35,46.0,82,30.0,77
37,43.0,32,60.0,18,76.0,44,68,14.0,53,25.0,65
39,78.0,52,95.0,63,84.0,27,47,27.0,77,71.0,14
0,11.0,46,30.0,68,15.0,94,17,92.0,77,9.0,36
82,81.0,18,21.0,36,53.0,67,17,60.0,1,28.0,8
4,,100,34.0,93,48.0,33,28,70.0,47,75.0,7
64,,33,16.0,43,82.0,0,66,71.0,86,15.0,21
56,,25,,76,,84,94,,32,,97
